"horario_inicial","horario_final","local","carros","motos","onibus","caminhoes","total_motorizados","mulheres_ciclistas","homens_ciclistas","total_ciclistas","mulheres_pedestres","homens_pedestres","total_pedestres","pedestres_com_cachorro","pedestres_sem_cachorro"
"06:00","06:15","bobs",30,33,0,0,63,0,15,15,46,51,97,5,92
"06:00","06:15","jackson",21,15,1,0,37,0,14,14,46,43,89,1,88
"06:15","06:30","bobs",51,47,1,3,102,0,31,31,64,80,144,2,142
"06:15","06:30","burrinhos",514,124,14,5,657,0,276,276,17,39,56,0,56
"06:15","06:30","jackson",30,32,5,2,69,0,40,40,70,64,134,3,131
"06:30","06:45","bobs",113,102,2,0,217,1,46,47,73,72,145,2,143
"06:30","06:45","burrinhos",422,216,10,7,655,1,3,4,25,29,54,0,54
"06:30","06:45","jackson",52,38,1,1,92,7,28,35,59,61,120,1,119
"06:45","07:00","bobs",170,134,0,0,304,4,29,33,62,76,138,2,136
"06:45","07:00","burrinhos",808,275,11,12,1106,1,17,18,37,26,63,0,63
"06:45","07:00","jackson",101,62,7,4,174,7,22,29,60,60,120,1,119
"07:00","07:15","bobs",186,145,1,0,332,3,29,32,64,61,125,1,124
"07:00","07:15","burrinhos",945,321,15,18,1299,1,18,19,43,48,91,0,91
"07:00","07:15","jackson",115,43,3,4,165,2,27,29,45,54,99,0,99
"07:15","07:30","bobs",156,103,0,1,260,2,16,18,61,59,120,3,117
"07:15","07:30","burrinhos",750,299,10,9,1068,0,8,8,27,42,69,0,69
"07:15","07:30","jackson",109,48,5,0,162,3,28,31,64,61,125,3,122
"07:30","07:45","bobs",139,89,0,2,230,3,19,22,54,56,110,4,106
"07:30","07:45","burrinhos",772,310,10,8,1100,0,12,12,35,53,88,0,88
"07:30","07:45","jackson",125,51,0,2,178,1,35,36,56,49,105,0,105
"07:45","08:00","bobs",148,155,0,2,305,3,17,20,36,61,97,2,95
"07:45","08:00","burrinhos",971,410,6,6,1393,0,7,7,27,41,68,0,68
"07:45","08:00","jackson",138,66,1,5,210,0,22,22,42,40,82,2,80
"08:00","08:15","bobs",165,115,0,1,281,2,27,29,32,64,96,1,95
"08:00","08:15","burrinhos",1098,344,7,8,1457,0,4,4,18,27,45,0,45
"08:00","08:15","jackson",123,41,1,2,167,1,15,16,35,31,66,3,63
"08:15","08:30","bobs",166,73,0,6,245,1,7,8,36,40,76,2,74
"08:15","08:30","burrinhos",702,297,7,9,1015,0,12,12,30,46,76,0,76
"08:15","08:30","jackson",132,51,1,3,187,2,21,23,22,47,69,1,68
"08:30","08:45","bobs",120,120,0,3,243,2,9,11,14,25,39,0,39
"08:30","08:45","burrinhos",855,243,9,15,1122,0,11,11,27,43,70,0,70
"08:30","08:45","jackson",143,40,2,5,190,2,18,20,32,42,74,0,74
"08:45","09:00","bobs",158,56,0,4,218,2,14,16,16,16,32,0,32
"08:45","09:00","burrinhos",810,248,4,3,1065,0,8,8,16,33,49,0,49
"08:45","09:00","jackson",135,60,3,5,203,3,13,16,17,27,44,1,43
"09:00","09:15","bobs",130,51,1,1,183,1,12,13,3,11,14,0,14
"09:00","09:15","burrinhos",795,332,7,15,1149,0,8,8,37,46,83,0,83
"09:00","09:15","jackson",121,38,1,5,165,1,11,12,17,32,49,0,49
"09:15","09:30","bobs",123,49,0,0,172,1,8,9,7,12,19,1,18
"09:15","09:30","burrinhos",438,216,6,13,673,0,5,5,11,39,50,0,50
"09:15","09:30","jackson",132,50,3,2,187,0,11,11,12,22,34,0,34
"09:30","09:45","bobs",153,49,0,5,207,0,8,8,13,21,34,0,34
"09:30","09:45","burrinhos",609,329,5,14,957,1,8,9,15,50,65,0,65
"09:30","09:45","jackson",123,51,1,2,177,0,14,14,10,20,30,0,30
"09:45","10:00","bobs",124,44,0,2,170,0,13,13,5,11,16,1,15
"09:45","10:00","burrinhos",693,275,25,8,1001,0,7,7,19,36,55,0,55
"09:45","10:00","jackson",142,59,2,3,206,2,13,15,17,22,39,0,39
"10:00","10:15","bobs",141,64,0,3,208,0,6,6,5,11,16,0,16
"10:00","10:15","burrinhos",715,285,7,19,1026,0,11,11,23,39,62,0,62
"10:00","10:15","jackson",128,50,2,8,188,3,7,10,8,14,22,0,22
"10:15","10:30","bobs",134,61,0,1,196,0,6,6,5,11,16,0,16
"10:15","10:30","burrinhos",647,258,8,21,934,0,5,5,15,30,45,0,45
"10:15","10:30","jackson",113,61,3,2,179,0,4,4,7,12,19,0,19
"10:30","10:45","bobs",97,57,0,4,158,0,13,13,3,12,15,0,15
"10:30","10:45","burrinhos",557,270,4,25,856,0,5,5,21,35,56,0,56
"10:30","10:45","jackson",149,54,0,3,206,1,4,5,6,22,28,0,28
"10:45","11:00","bobs",111,64,0,3,178,1,12,13,11,19,30,0,30
"10:45","11:00","burrinhos",636,313,9,24,982,0,1,1,21,34,55,0,55
"10:45","11:00","jackson",147,48,4,8,207,0,8,8,9,13,22,0,22
"11:00","11:15","bobs",177,93,0,4,274,0,22,22,13,51,64,0,64
"11:00","11:15","burrinhos",693,375,5,16,1089,0,11,11,28,44,72,0,72
"11:00","11:15","jackson",130,67,3,5,205,0,15,15,8,20,28,0,28
"11:15","11:30","bobs",162,75,1,0,238,0,6,6,2,7,9,0,9
"11:15","11:30","burrinhos",708,352,15,41,1116,0,10,10,22,34,56,0,56
"11:15","11:30","jackson",139,55,2,1,197,0,7,7,2,8,10,0,10
"11:30","11:45","bobs",164,75,3,0,242,0,9,9,4,18,22,0,22
"11:30","11:45","burrinhos",640,394,13,21,1068,0,0,0,35,35,70,0,70
"11:30","11:45","jackson",168,78,3,4,253,0,12,12,23,18,41,0,41
"11:45","12:00","bobs",211,91,0,3,305,0,13,13,1,9,10,0,10
"11:45","12:00","burrinhos",772,364,16,18,1170,0,6,6,34,46,80,0,80
"11:45","12:00","jackson",150,67,3,7,227,0,6,6,7,17,24,0,24
"12:00","12:15","bobs",199,62,1,1,263,0,9,9,11,18,29,0,29
"12:00","12:15","burrinhos",654,362,4,7,1027,0,13,13,15,49,64,0,64
"12:00","12:15","jackson",169,74,0,4,247,0,7,7,10,8,18,0,18
"12:15","12:30","bobs",141,47,1,0,189,0,10,10,6,14,20,0,20
"12:15","12:30","burrinhos",712,372,3,4,1091,0,10,10,16,44,60,0,60
"12:15","12:30","jackson",155,45,4,4,208,0,4,4,2,14,16,0,16
"12:30","12:45","bobs",150,53,0,2,205,0,7,7,8,19,27,0,27
"12:30","12:45","burrinhos",841,312,6,6,1165,0,10,10,15,34,49,0,49
"12:30","12:45","jackson",116,51,1,4,172,0,7,7,2,17,19,0,19
"12:45","13:00","bobs",192,84,0,2,278,0,16,16,17,16,33,0,33
"12:45","13:00","burrinhos",827,355,3,3,1188,0,13,13,28,40,68,0,68
"12:45","13:00","jackson",118,47,4,4,173,0,8,8,2,3,5,0,5
"13:00","13:15","bobs",209,64,0,4,277,1,12,13,6,26,32,0,32
"13:00","13:15","burrinhos",786,366,3,3,1158,0,9,9,27,45,72,0,72
"13:00","13:15","jackson",133,59,2,3,197,0,7,7,4,10,14,0,14
"13:15","13:30","bobs",177,70,0,5,252,0,9,9,18,35,53,0,53
"13:15","13:30","burrinhos",732,339,2,5,1078,0,14,14,26,40,66,0,66
"13:15","13:30","jackson",140,64,3,6,213,0,8,8,24,18,42,0,42
"13:30","13:45","bobs",184,60,0,5,249,0,7,7,12,12,24,0,24
"13:30","13:45","burrinhos",698,314,2,9,1023,0,7,7,23,40,63,0,63
"13:30","13:45","jackson",128,50,2,4,184,0,9,9,10,16,26,1,25
"13:45","14:00","bobs",220,70,0,3,293,0,10,10,2,12,14,0,14
"13:45","14:00","burrinhos",795,370,0,2,1167,0,8,8,20,41,61,0,61
"13:45","14:00","jackson",151,58,0,2,211,0,11,11,5,9,14,0,14
"14:00","14:15","bobs",195,70,0,9,274,0,9,9,11,16,27,0,27
