hora,tipo,n
06,mulheres_ciclistas,5
06,mulheres_pedestres,235
06,homens_pedestres,228
06,homens_ciclistas,121
07,mulheres_ciclistas,6
07,mulheres_pedestres,207
07,homens_pedestres,204
07,homens_ciclistas,81
08,mulheres_ciclistas,7
08,mulheres_pedestres,98
08,homens_pedestres,147
08,homens_ciclistas,57
09,mulheres_ciclistas,2
09,mulheres_pedestres,56
09,homens_pedestres,96
09,homens_ciclistas,41
10,mulheres_ciclistas,1
10,mulheres_pedestres,30
10,homens_pedestres,61
10,homens_ciclistas,23
11,mulheres_ciclistas,0
11,mulheres_pedestres,40
11,homens_pedestres,85
11,homens_ciclistas,40
12,mulheres_ciclistas,0
12,mulheres_pedestres,42
12,homens_pedestres,67
12,homens_ciclistas,42
13,mulheres_ciclistas,0
13,mulheres_pedestres,43
13,homens_pedestres,85
13,homens_ciclistas,38
14,mulheres_ciclistas,0
14,mulheres_pedestres,48
14,homens_pedestres,68
14,homens_ciclistas,26
15,mulheres_ciclistas,3
15,mulheres_pedestres,77
15,homens_pedestres,133
15,homens_ciclistas,35
16,mulheres_ciclistas,17
16,mulheres_pedestres,164
16,homens_pedestres,248
16,homens_ciclistas,94
17,mulheres_ciclistas,19
17,mulheres_pedestres,284
17,homens_pedestres,550
17,homens_ciclistas,107
18,mulheres_ciclistas,1
18,mulheres_pedestres,275
18,homens_pedestres,528
18,homens_ciclistas,69
19,mulheres_ciclistas,2
19,mulheres_pedestres,177
19,homens_pedestres,407
19,homens_ciclistas,83
20,mulheres_ciclistas,5
20,mulheres_pedestres,49
20,homens_pedestres,162
20,homens_ciclistas,44
