hora,tipo,local,n
06,Carros,bobs,364
06,Carros,burrinhos,1744
06,Carros,jackson,204
06,Motos,bobs,316
06,Motos,burrinhos,615
06,Motos,jackson,147
06,Onibus,bobs,3
06,Onibus,burrinhos,35
06,Onibus,jackson,14
06,Caminhoes,bobs,3
06,Caminhoes,burrinhos,24
06,Caminhoes,jackson,7
06,Ciclistas,bobs,126
06,Ciclistas,burrinhos,298
06,Ciclistas,jackson,118
06,Pedestres,bobs,524
06,Pedestres,burrinhos,173
06,Pedestres,jackson,463
07,Carros,bobs,629
07,Carros,burrinhos,3438
07,Carros,jackson,487
07,Motos,bobs,492
07,Motos,burrinhos,1340
07,Motos,jackson,208
07,Onibus,bobs,1
07,Onibus,burrinhos,41
07,Onibus,jackson,9
07,Caminhoes,bobs,5
07,Caminhoes,burrinhos,41
07,Caminhoes,jackson,11
07,Ciclistas,bobs,92
07,Ciclistas,burrinhos,46
07,Ciclistas,jackson,118
07,Pedestres,bobs,452
07,Pedestres,burrinhos,316
07,Pedestres,jackson,411
08,Carros,bobs,609
08,Carros,burrinhos,3465
08,Carros,jackson,533
08,Motos,bobs,364
08,Motos,burrinhos,1132
08,Motos,jackson,192
08,Onibus,bobs,0
08,Onibus,burrinhos,27
08,Onibus,jackson,7
08,Caminhoes,bobs,14
08,Caminhoes,burrinhos,35
08,Caminhoes,jackson,15
08,Ciclistas,bobs,64
08,Ciclistas,burrinhos,35
08,Ciclistas,jackson,75
08,Pedestres,bobs,243
08,Pedestres,burrinhos,240
08,Pedestres,jackson,253
09,Carros,bobs,530
09,Carros,burrinhos,2535
09,Carros,jackson,518
09,Motos,bobs,193
09,Motos,burrinhos,1152
09,Motos,jackson,198
09,Onibus,bobs,1
09,Onibus,burrinhos,43
09,Onibus,jackson,7
09,Caminhoes,bobs,8
09,Caminhoes,burrinhos,50
09,Caminhoes,jackson,12
09,Ciclistas,bobs,43
09,Ciclistas,burrinhos,29
09,Ciclistas,jackson,52
09,Pedestres,bobs,83
09,Pedestres,burrinhos,253
09,Pedestres,jackson,152
10,Carros,bobs,483
10,Carros,burrinhos,2555
10,Carros,jackson,537
10,Motos,bobs,246
10,Motos,burrinhos,1126
10,Motos,jackson,213
10,Onibus,bobs,0
10,Onibus,burrinhos,28
10,Onibus,jackson,9
10,Caminhoes,bobs,11
10,Caminhoes,burrinhos,89
10,Caminhoes,jackson,21
10,Ciclistas,bobs,38
10,Ciclistas,burrinhos,22
10,Ciclistas,jackson,27
10,Pedestres,bobs,77
10,Pedestres,burrinhos,218
10,Pedestres,jackson,91
11,Carros,bobs,714
11,Carros,burrinhos,2813
11,Carros,jackson,587
11,Motos,bobs,334
11,Motos,burrinhos,1485
11,Motos,jackson,267
11,Onibus,bobs,4
11,Onibus,burrinhos,49
11,Onibus,jackson,11
11,Caminhoes,bobs,7
11,Caminhoes,burrinhos,96
11,Caminhoes,jackson,17
11,Ciclistas,bobs,50
11,Ciclistas,burrinhos,27
11,Ciclistas,jackson,40
11,Pedestres,bobs,105
11,Pedestres,burrinhos,278
11,Pedestres,jackson,103
12,Carros,bobs,682
12,Carros,burrinhos,3034
12,Carros,jackson,558
12,Motos,bobs,246
12,Motos,burrinhos,1401
12,Motos,jackson,217
12,Onibus,bobs,2
12,Onibus,burrinhos,16
12,Onibus,jackson,9
12,Caminhoes,bobs,5
12,Caminhoes,burrinhos,20
12,Caminhoes,jackson,16
12,Ciclistas,bobs,42
12,Ciclistas,burrinhos,46
12,Ciclistas,jackson,26
12,Pedestres,bobs,109
12,Pedestres,burrinhos,241
12,Pedestres,jackson,58
13,Carros,bobs,790
13,Carros,burrinhos,3011
13,Carros,jackson,552
13,Motos,bobs,264
13,Motos,burrinhos,1389
13,Motos,jackson,231
13,Onibus,bobs,0
13,Onibus,burrinhos,7
13,Onibus,jackson,7
13,Caminhoes,bobs,17
13,Caminhoes,burrinhos,19
13,Caminhoes,jackson,15
13,Ciclistas,bobs,39
13,Ciclistas,burrinhos,38
13,Ciclistas,jackson,35
13,Pedestres,bobs,123
13,Pedestres,burrinhos,262
13,Pedestres,jackson,96
14,Carros,bobs,756
14,Carros,burrinhos,3256
14,Carros,jackson,579
14,Motos,bobs,234
14,Motos,burrinhos,1411
14,Motos,jackson,226
14,Onibus,bobs,1
14,Onibus,burrinhos,13
14,Onibus,jackson,7
14,Caminhoes,bobs,21
14,Caminhoes,burrinhos,46
14,Caminhoes,jackson,15
14,Ciclistas,bobs,26
14,Ciclistas,burrinhos,43
14,Ciclistas,jackson,15
14,Pedestres,bobs,113
14,Pedestres,burrinhos,245
14,Pedestres,jackson,91
15,Carros,bobs,657
15,Carros,burrinhos,2880
15,Carros,jackson,557
15,Motos,bobs,229
15,Motos,burrinhos,1386
15,Motos,jackson,195
15,Onibus,bobs,0
15,Onibus,burrinhos,25
15,Onibus,jackson,9
15,Caminhoes,bobs,6
15,Caminhoes,burrinhos,42
15,Caminhoes,jackson,16
15,Ciclistas,bobs,41
15,Ciclistas,burrinhos,49
15,Ciclistas,jackson,29
15,Pedestres,bobs,210
15,Pedestres,burrinhos,276
15,Pedestres,jackson,122
16,Carros,bobs,716
16,Carros,burrinhos,2842
16,Carros,jackson,653
16,Motos,bobs,297
16,Motos,burrinhos,1367
16,Motos,jackson,269
16,Onibus,bobs,1
16,Onibus,burrinhos,21
16,Onibus,jackson,3
16,Caminhoes,bobs,5
16,Caminhoes,burrinhos,49
16,Caminhoes,jackson,20
16,Ciclistas,bobs,128
16,Ciclistas,burrinhos,71
16,Ciclistas,jackson,116
16,Pedestres,bobs,535
16,Pedestres,burrinhos,387
16,Pedestres,jackson,412
17,Carros,bobs,771
17,Carros,burrinhos,3328
17,Carros,jackson,612
17,Motos,bobs,306
17,Motos,burrinhos,1449
17,Motos,jackson,253
17,Onibus,bobs,5
17,Onibus,burrinhos,57
17,Onibus,jackson,16
17,Caminhoes,bobs,4
17,Caminhoes,burrinhos,37
17,Caminhoes,jackson,20
17,Ciclistas,bobs,161
17,Ciclistas,burrinhos,84
17,Ciclistas,jackson,126
17,Pedestres,bobs,940
17,Pedestres,burrinhos,476
17,Pedestres,jackson,858
18,Carros,bobs,727
18,Carros,burrinhos,2070
18,Carros,jackson,513
18,Motos,bobs,324
18,Motos,burrinhos,1165
18,Motos,jackson,259
18,Onibus,bobs,3
18,Onibus,burrinhos,59
18,Onibus,jackson,25
18,Caminhoes,bobs,4
18,Caminhoes,burrinhos,25
18,Caminhoes,jackson,13
18,Ciclistas,bobs,75
18,Ciclistas,burrinhos,39
18,Ciclistas,jackson,83
18,Pedestres,bobs,822
18,Pedestres,burrinhos,397
18,Pedestres,jackson,825
19,Carros,bobs,562
19,Carros,burrinhos,1295
19,Carros,jackson,372
19,Motos,bobs,189
19,Motos,burrinhos,731
19,Motos,jackson,176
19,Onibus,bobs,0
19,Onibus,burrinhos,13
19,Onibus,jackson,4
19,Caminhoes,bobs,2
19,Caminhoes,burrinhos,11
19,Caminhoes,jackson,5
19,Ciclistas,bobs,87
19,Ciclistas,burrinhos,23
19,Ciclistas,jackson,92
19,Pedestres,bobs,584
19,Pedestres,burrinhos,174
19,Pedestres,jackson,671
20,Carros,bobs,394
20,Carros,burrinhos,1029
20,Carros,jackson,324
20,Motos,bobs,173
20,Motos,burrinhos,525
