hora,tipo,n
06,carros,101.0
06,motos,62.0
06,onibus,2.0
06,caminhoes,2.0
06,total_ciclistas,31.0
06,total_pedestres,120.0
07,carros,152.0
07,motos,124.0
07,onibus,2.0
07,caminhoes,3.0
07,total_ciclistas,21.0
07,total_pedestres,98.0
08,carros,161.5
08,motos,94.0
08,onibus,1.5
08,caminhoes,4.5
08,total_ciclistas,14.0
08,total_pedestres,67.5
09,carros,137.0
09,motos,51.0
09,onibus,1.5
09,caminhoes,4.0
09,total_ciclistas,10.0
09,total_pedestres,36.5
10,carros,144.0
10,motos,62.5
10,onibus,2.5
10,caminhoes,6.0
10,total_ciclistas,6.0
10,total_pedestres,25.0
11,carros,172.5
11,motos,84.5
11,onibus,3.0
11,caminhoes,4.5
11,total_ciclistas,9.5
11,total_pedestres,34.5
12,carros,180.5
12,motos,68.0
12,onibus,2.0
12,caminhoes,4.0
12,total_ciclistas,9.5
12,total_pedestres,28.0
13,carros,196.5
13,motos,67.0
13,onibus,1.0
13,caminhoes,4.0
13,total_ciclistas,9.0
13,total_pedestres,37.0
14,carros,191.0
14,motos,64.5
14,onibus,2.0
14,caminhoes,6.0
14,total_ciclistas,5.5
14,total_pedestres,28.0
15,carros,166.0
15,motos,60.0
15,onibus,2.5
15,caminhoes,3.5
15,total_ciclistas,9.5
15,total_pedestres,53.0
16,carros,171.5
16,motos,80.0
16,onibus,1.0
16,caminhoes,4.0
16,total_ciclistas,24.5
16,total_pedestres,102.5
17,carros,190.5
17,motos,74.0
17,onibus,4.0
17,caminhoes,4.0
17,total_ciclistas,32.5
17,total_pedestres,204.5
18,carros,175.5
18,motos,79.0
18,onibus,5.5
18,caminhoes,3.0
18,total_ciclistas,19.0
18,total_pedestres,196.0
19,carros,146.0
19,motos,51.0
19,onibus,1.0
19,caminhoes,1.0
19,total_ciclistas,17.5
19,total_pedestres,128.0
20,carros,106.0
20,motos,47.0
20,onibus,0.0
20,caminhoes,1.0
20,total_ciclistas,6.0
20,total_pedestres,53.0
