hora,tipo,n
06,carros,364
06,motos,316
06,onibus,14
06,caminhoes,7
06,total_ciclistas,126
06,total_pedestres,463
07,carros,629
07,motos,492
07,onibus,9
07,caminhoes,11
07,total_ciclistas,92
07,total_pedestres,411
08,carros,609
08,motos,364
08,onibus,7
08,caminhoes,15
08,total_ciclistas,64
08,total_pedestres,243
09,carros,530
09,motos,198
09,onibus,7
09,caminhoes,12
09,total_ciclistas,43
09,total_pedestres,152
10,carros,537
10,motos,246
10,onibus,9
10,caminhoes,21
10,total_ciclistas,27
10,total_pedestres,91
11,carros,714
11,motos,334
11,onibus,11
11,caminhoes,17
11,total_ciclistas,40
11,total_pedestres,105
12,carros,682
12,motos,246
12,onibus,9
12,caminhoes,16
12,total_ciclistas,42
12,total_pedestres,109
13,carros,790
13,motos,264
13,onibus,7
13,caminhoes,17
13,total_ciclistas,38
13,total_pedestres,123
14,carros,756
14,motos,234
14,onibus,7
14,caminhoes,21
14,total_ciclistas,26
14,total_pedestres,113
15,carros,657
15,motos,229
15,onibus,9
15,caminhoes,16
15,total_ciclistas,41
15,total_pedestres,210
16,carros,716
16,motos,297
16,onibus,3
16,caminhoes,20
16,total_ciclistas,116
16,total_pedestres,412
17,carros,771
17,motos,306
17,onibus,16
17,caminhoes,20
17,total_ciclistas,126
17,total_pedestres,858
18,carros,727
18,motos,324
18,onibus,25
18,caminhoes,13
18,total_ciclistas,75
18,total_pedestres,822
19,carros,562
19,motos,189
19,onibus,4
19,caminhoes,5
19,total_ciclistas,87
19,total_pedestres,584
20,carros,394
20,motos,173
20,onibus,2
20,caminhoes,3
20,total_ciclistas,49
20,total_pedestres,211
