hora,tipo,n
06,carros,210.1818181818182
06,motos,98.0
06,onibus,4.7272727272727275
06,caminhoes,3.090909090909091
06,total_ciclistas,49.27272727272727
06,total_pedestres,105.45454545454545
07,carros,379.5
07,motos,170.0
07,onibus,4.25
07,caminhoes,4.75
07,total_ciclistas,21.333333333333332
07,total_pedestres,98.25
08,carros,383.9166666666667
08,motos,140.66666666666666
08,onibus,2.8333333333333335
08,caminhoes,5.333333333333333
08,total_ciclistas,14.5
08,total_pedestres,61.333333333333336
09,carros,298.5833333333333
09,motos,128.58333333333334
09,onibus,4.25
09,caminhoes,5.833333333333333
09,total_ciclistas,10.333333333333334
09,total_pedestres,40.666666666666664
10,carros,297.9166666666667
10,motos,132.08333333333334
10,onibus,3.0833333333333335
10,caminhoes,10.083333333333334
10,total_ciclistas,7.25
10,total_pedestres,32.166666666666664
11,carros,342.8333333333333
11,motos,173.83333333333334
11,onibus,5.333333333333333
11,caminhoes,10.0
11,total_ciclistas,9.75
11,total_pedestres,40.5
12,carros,356.1666666666667
12,motos,155.33333333333334
12,onibus,2.25
12,caminhoes,3.4166666666666665
12,total_ciclistas,9.5
12,total_pedestres,34.0
13,carros,362.75
13,motos,157.0
13,onibus,1.1666666666666667
13,caminhoes,4.25
13,total_ciclistas,9.333333333333334
13,total_pedestres,40.083333333333336
14,carros,382.5833333333333
14,motos,155.91666666666666
14,onibus,1.75
14,caminhoes,6.833333333333333
14,total_ciclistas,7.0
14,total_pedestres,37.416666666666664
15,carros,341.1666666666667
15,motos,150.83333333333334
15,onibus,2.8333333333333335
15,caminhoes,5.333333333333333
15,total_ciclistas,9.916666666666666
15,total_pedestres,50.666666666666664
16,carros,350.9166666666667
16,motos,161.08333333333334
16,onibus,2.0833333333333335
16,caminhoes,6.166666666666667
16,total_ciclistas,26.25
16,total_pedestres,111.16666666666667
17,carros,392.5833333333333
17,motos,167.33333333333334
17,onibus,6.5
17,caminhoes,5.083333333333333
17,total_ciclistas,30.916666666666668
17,total_pedestres,189.5
18,carros,275.8333333333333
18,motos,145.66666666666666
18,onibus,7.25
18,caminhoes,3.5
18,total_ciclistas,16.416666666666668
18,total_pedestres,170.33333333333334
19,carros,185.75
19,motos,91.33333333333333
19,onibus,1.4166666666666667
19,caminhoes,1.5
19,total_ciclistas,16.833333333333332
19,total_pedestres,119.08333333333333
20,carros,145.58333333333334
20,motos,67.25
20,onibus,0.3333333333333333
20,caminhoes,1.0833333333333333
20,total_ciclistas,16.166666666666668
20,total_pedestres,50.75
